t,PPI_mean
2019-03-28,
2019-03-30,
2019-04-02,0.4272314
2019-04-04,
2019-04-07,0.59304464
2019-04-09,
2019-04-12,1.0236685
2019-04-14,
2019-04-17,0.674152
2019-04-19,0.90063715
2019-04-22,0.89422643
2019-04-24,
2019-04-27,
2019-04-29,0.99789333
2019-05-02,
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,1.0704032
2019-05-14,
2019-05-17,
2019-05-19,
2019-05-24,1.6136034
2019-05-27,
2019-05-29,2.3271527
2019-06-01,
2019-06-03,1.7273049
2019-06-06,1.4131554
2019-06-08,
2019-06-11,
2019-06-13,
2019-06-16,1.4460728
2019-06-18,
2019-06-21,
2019-06-23,1.235843
2019-06-26,
2019-06-28,
2019-07-01,
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,
2019-07-13,0.13972563
2019-07-16,
2019-07-18,
2019-07-21,
2019-07-23,
2019-07-26,0.015057025
2019-07-28,0.031763636
2019-07-31,
2019-08-02,
2019-08-05,
2019-08-07,
2019-08-10,0.03175872
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,0.06362975
2019-08-22,0.017370248
2019-08-25,0.016179338
2019-08-27,
2019-08-30,
2019-09-01,
2019-09-04,
2019-09-06,0.003355372
2019-09-09,
2019-09-11,0.013047934
2019-09-14,
2019-09-16,
2019-09-19,0.05719697
2019-09-21,
2019-09-24,
2019-09-26,
2019-09-29,
2019-10-01,
2019-10-04,
2019-10-06,0.41208345
2019-10-09,
2019-10-11,
2019-10-14,
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,
2019-10-29,
2019-10-31,0.8349826
2019-11-03,
2019-11-05,
2019-11-08,
2019-11-10,0.78523314
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,0.544495
2019-12-03,
2019-12-05,0.42659172
2019-12-08,
2019-12-10,0.49375293
2019-12-13,
2019-12-15,
2019-12-18,
2019-12-20,
2019-12-23,
2019-12-25,
2019-12-28,
2019-12-30,
2020-01-02,0.4663223
2020-01-04,
2020-01-07,
2020-01-09,
2020-01-12,
2020-01-14,
2020-01-17,0.40623218
2020-01-19,0.47919834
2020-01-22,
2020-01-24,
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,
2020-02-06,
2020-02-08,0.5616289
2020-02-11,
2020-02-13,
2020-02-16,
2020-02-18,
2020-02-21,
2020-02-23,
2020-02-26,
2020-02-28,1.20002
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,
2020-03-14,1.065938
2020-03-17,
2020-03-19,
2020-03-22,1.1977173
2020-03-24,1.1472117
2020-03-27,1.0533967
2020-03-29,
2020-04-01,
2020-04-03,
2020-04-06,1.3851471
2020-04-08,
2020-04-11,
2020-04-13,
2020-04-16,
2020-04-18,
2020-04-21,1.4214271
2020-04-23,1.5105917
2020-04-26,
2020-04-28,
2020-05-01,
2020-05-03,
2020-05-06,1.4408942
2020-05-08,1.3778603
2020-05-11,
2020-05-13,2.948522
2020-05-16,
2020-05-18,
2020-05-21,
2020-05-23,
2020-05-26,
2020-05-28,2.8221486
2020-05-31,2.6036859
2020-06-02,2.271915
2020-06-05,
2020-06-07,
2020-06-10,
2020-06-12,
2020-06-15,1.9243488
2020-06-17,1.8418529
2020-06-20,
2020-06-22,1.8531305
2020-06-25,2.1826668
2020-06-27,
2020-06-30,
2020-07-02,
2020-07-05,
2020-07-07,
2020-07-10,
2020-07-12,
2020-07-15,
2020-07-17,
2020-07-20,
2020-07-22,
2020-07-25,
2020-07-27,
2020-07-30,
2020-08-01,0.110273555
2020-08-04,
2020-08-06,0.1846719
2020-08-09,
2020-08-11,0.12972148
2020-08-14,
2020-08-16,0.18685041
2020-08-19,
2020-08-21,
2020-08-24,
2020-08-26,
2020-08-29,
2020-08-31,
2020-09-03,0.03946859
2020-09-05,
2020-09-08,
2020-09-10,
2020-09-13,
2020-09-15,
2020-09-18,0.017924793
2020-09-20,0.015824793
2020-09-23,0.009004132
2020-09-25,
2020-09-28,0.00341
2020-09-30,
2020-10-03,
2020-10-08,
2020-10-10,
2020-10-13,0.017766114
2020-10-15,
2020-10-18,
2020-10-20,
2020-10-23,
2020-10-25,
2020-10-28,0.13947174
2020-10-30,
2020-11-02,0.08303884
2020-11-04,0.13396841
2020-11-07,
2020-11-09,
2020-11-12,
2020-11-14,
2020-11-17,
2020-11-19,0.3290481
2020-11-22,
2020-11-24,
2020-11-27,
2020-11-29,
2020-12-02,
2020-12-04,
2020-12-07,
2020-12-09,
2020-12-12,
2020-12-17,
2020-12-19,
2020-12-22,
2020-12-24,
2020-12-27,
2020-12-29,
2021-01-01,
2021-01-03,
2021-01-06,
2021-01-08,
2021-01-11,
2021-01-13,
2021-01-16,
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,0.35411072
2021-02-25,0.31932065
2021-02-27,
2021-03-02,
2021-03-04,
2021-03-07,
2021-03-09,0.40581325
2021-03-12,
2021-03-14,
2021-03-17,
2021-03-19,
2021-03-22,0.39106196
2021-03-24,
2021-03-27,
2021-03-29,
2021-04-01,
2021-04-03,
2021-04-06,0.90093416
2021-04-08,
2021-04-11,
2021-04-13,
2021-04-16,
2021-04-18,
2021-04-21,1.1095898
2021-04-23,
2021-04-26,
2021-04-28,1.1360676
2021-05-01,
2021-05-03,
2021-05-06,
2021-05-08,
2021-05-11,
2021-05-13,
2021-05-16,
2021-05-18,
2021-05-21,2.93785
2021-05-23,2.7251396
2021-05-26,2.1163182
2021-05-28,
2021-05-31,2.04943
2021-06-02,2.2351594
2021-06-05,
2021-06-07,2.3541307
2021-06-10,1.5285016
2021-06-12,
2021-06-15,2.5984578
2021-06-17,2.310839
2021-06-20,1.650852
2021-06-22,
2021-06-25,
2021-06-27,
2021-06-30,
2021-07-02,
2021-07-05,
2021-07-07,
2021-07-10,
2021-07-12,
2021-07-15,
2021-07-17,
2021-07-20,
2021-07-22,
2021-07-25,
2021-07-27,0.03637686
2021-07-30,0.048880987
2021-08-01,
2021-08-04,
2021-08-06,
2021-08-09,
2021-08-11,0.0
2021-08-14,
2021-08-16,
2021-08-19,
2021-08-21,
2021-08-24,
2021-08-26,
2021-08-29,
2021-08-31,
2021-09-03,0.0003991071
2021-09-05,0.069735534
2021-09-08,0.010009917
2021-09-10,0.007914877
2021-09-13,
2021-09-15,
2021-09-18,
2021-09-20,
2021-09-23,
2021-09-25,
2021-09-28,
2021-09-30,
2021-10-03,
2021-10-05,
2021-10-08,
2021-10-10,0.030267768
2021-10-13,0.028043749
2021-10-15,
2021-10-18,
2021-10-20,
2021-10-23,
2021-10-25,
2021-10-28,0.016824793
2021-10-30,
2021-11-02,
2021-11-04,
2021-11-07,
2021-11-12,
2021-11-14,
2021-11-17,
2021-11-19,
2021-11-22,0.15819167
2021-11-24,
2021-11-27,
2021-11-29,
2021-12-02,
2021-12-04,
2021-12-07,
2021-12-09,
2021-12-12,
2021-12-14,
2021-12-17,
2021-12-19,
2021-12-22,
2021-12-24,
2021-12-27,
2021-12-29,
2022-01-01,
2022-01-03,
2022-01-06,0.078145444
2022-01-08,
2022-01-11,
2022-01-13,
2022-01-16,
2022-01-18,0.05458099
2022-01-21,0.097065285
2022-01-23,
2022-01-26,
2022-01-28,0.07889338
2022-01-31,
2022-02-02,
2022-02-05,0.103700824
2022-02-07,
2022-02-10,
2022-02-12,0.056876857
2022-02-15,
2022-02-17,
2022-02-20,
2022-02-22,
2022-02-25,
2022-02-27,
2022-03-02,
2022-03-04,
2022-03-07,0.016353717
2022-03-09,0.051414873
2022-03-12,0.06666198
2022-03-14,0.06830165
2022-03-17,
2022-03-19,0.10630826
2022-03-22,0.1302909
2022-03-24,0.14710578
2022-03-27,0.15583058
2022-03-29,
2022-04-01,
2022-04-03,
2022-04-06,
2022-04-08,
2022-04-11,
2022-04-13,
2022-04-16,
2022-04-18,0.43052557
2022-04-21,0.46723884
2022-04-23,0.62737846
2022-04-26,
2022-04-28,0.84870905
2022-05-01,
2022-05-03,
