t,GPP
2017-09-11,3.58613
2017-09-12,5.69812
2017-09-13,7.12043
2017-09-14,5.99382
2017-09-15,7.83588
2017-09-16,2.27826
2017-09-17,1.38413
2017-09-18,
2017-09-19,4.13243
2017-09-20,2.93418
2017-09-21,6.06148
2017-09-22,7.89939
2017-09-23,5.21883
2017-09-24,4.4664
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,6.83149
2017-09-29,6.2638
2017-09-30,5.81985
2017-10-01,5.46724
2017-10-02,4.86606
2017-10-03,1.3688
2017-10-04,5.10306
2017-10-05,3.70799
2017-10-06,3.7125
2017-10-07,3.73786
2017-10-08,1.81194
2017-10-09,3.05458
2017-10-10,2.32035
2017-10-11,2.81363
2017-10-12,3.35767
2017-10-13,3.31494
2017-10-14,3.69896
2017-10-15,3.83207
2017-10-16,3.72662
2017-10-17,3.18717
2017-10-18,3.43369
2017-10-19,3.04925
2017-10-20,0.717784
2017-10-21,1.11773
2017-10-22,1.16541
2017-10-23,0.47547
2017-10-24,0.972189
2017-10-25,0.772533
2017-10-26,1.80735
2017-10-27,0.414839
2017-10-28,0.656178
2017-10-29,0.155072
2017-10-30,0.202706
2017-10-31,0.238667
2017-11-01,0.0839156
2017-11-02,0.383429
2017-11-03,
2017-11-04,0.409303
2017-11-05,
2017-11-06,
2017-11-07,0.187534
2017-11-08,
2017-11-09,
2017-11-10,0.179264
2017-11-11,0.189808
2017-11-12,0.12241
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,0.171629
2017-11-18,
2017-11-19,0.213824
2017-11-20,0.15034
2017-11-21,0.170602
2017-11-22,0.197641
2017-11-23,
2017-11-24,0.0335167
2017-11-25,0.117719
2017-11-26,0.026087
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-02,
2017-12-03,
2017-12-04,
2017-12-05,0.228037
2017-12-06,0.514404
2017-12-07,
2017-12-08,
2017-12-09,
2017-12-10,
2017-12-11,0.259828
2017-12-12,0.0586354
2017-12-13,
2017-12-14,0.085422
2017-12-15,0.259741
2017-12-16,0.0985508
2017-12-17,0.0883113
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,0.0327776
2017-12-22,0.441962
2017-12-23,0.252138
2017-12-24,0.0310707
2017-12-25,0.156825
2017-12-26,
2017-12-27,0.177389
2017-12-28,0.0314212
2017-12-29,
2017-12-30,0.139677
2017-12-31,0.325846
2018-01-01,
2018-01-02,0.120991
2018-01-03,
2018-01-04,0.337975
2018-01-05,0.311827
2018-01-06,0.212336
2018-01-07,0.0830272
2018-01-08,0.086194
2018-01-09,0.108698
2018-01-10,0.27482
2018-01-11,0.124839
2018-01-12,0.0204287
2018-01-13,
2018-01-14,0.100999
2018-01-15,0.209269
2018-01-16,0.211676
2018-01-17,0.15865
2018-01-18,0.20948
2018-01-19,0.0196375
2018-01-20,0.181344
2018-01-21,0.0251767
2018-01-22,0.135945
2018-01-23,0.063014
2018-01-24,0.093466
2018-01-25,0.166874
2018-01-26,0.00551522
2018-01-27,0.0858239
2018-01-28,0.0977422
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,0.0577203
2018-02-02,0.0988091
2018-02-03,
2018-02-04,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-10,
2018-02-11,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,0.177435
2018-02-16,0.410374
2018-02-17,0.303408
2018-02-18,0.542545
2018-02-19,0.460506
2018-02-20,
2018-02-21,0.656907
2018-02-22,0.494019
2018-02-23,0.19701
2018-02-24,
2018-02-25,0.0682556
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,0.0299561
2018-03-03,
2018-03-04,0.0389988
2018-03-05,0.288323
2018-03-06,0.347911
2018-03-07,0.0724967
2018-03-08,0.0863297
2018-03-09,
2018-03-10,0.118599
2018-03-11,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,0.139707
2018-03-16,0.105513
2018-03-17,
2018-03-18,
2018-03-19,
2018-03-20,0.148472
2018-03-21,0.300109
2018-03-22,0.322642
2018-03-23,0.0955779
2018-03-24,0.198855
2018-03-25,0.14202
2018-03-26,0.117825
2018-03-27,0.106907
2018-03-28,0.30456
2018-03-29,0.225883
2018-03-30,0.126378
2018-03-31,0.245059
2018-04-01,
2018-04-02,0.500373
2018-04-03,0.397793
2018-04-04,0.40946
2018-04-05,0.296534
2018-04-06,0.616936
2018-04-07,1.08776
2018-04-08,0.778285
2018-04-09,0.302366
2018-04-10,0.859336
2018-04-11,1.6808
2018-04-12,1.29216
2018-04-13,2.02531
2018-04-14,3.06991
2018-04-15,3.10105
2018-04-16,2.85469
2018-04-17,4.73091
2018-04-18,5.21602
2018-04-19,5.30116
2018-04-20,6.45245
2018-04-21,7.08108
2018-04-22,8.28373
2018-04-23,8.34825
2018-04-24,9.14031
2018-04-25,8.95372
2018-04-26,6.19017
2018-04-27,9.24571
2018-04-28,9.0564
2018-04-29,8.39528
2018-04-30,9.58213
2018-05-01,11.7717
2018-05-02,9.79714
2018-05-03,10.8154
2018-05-04,11.7985
2018-05-05,13.5587
2018-05-06,11.824
2018-05-07,11.3
2018-05-08,9.69821
2018-05-09,10.0317
2018-05-10,12.1298
2018-05-11,12.6424
2018-05-12,12.5265
2018-05-13,11.2344
2018-05-14,13.172
2018-05-15,6.35049
2018-05-16,13.3764
2018-05-17,8.29265
2018-05-18,15.4292
2018-05-19,12.8554
2018-05-20,12.9649
2018-05-21,14.0286
2018-05-22,14.4438
2018-05-23,11.5533
2018-05-24,14.3611
2018-05-25,11.1679
2018-05-26,
2018-05-27,15.7506
2018-05-28,14.5228
2018-05-29,14.1315
2018-05-30,12.062
2018-05-31,14.2529
2018-06-01,14.2148
2018-06-02,15.7183
2018-06-03,16.9092
2018-06-04,15.469
2018-06-05,14.8656
2018-06-06,13.756
2018-06-07,15.5505
2018-06-08,14.9076
2018-06-09,14.5747
2018-06-10,15.5129
2018-06-11,14.4477
2018-06-12,13.3636
2018-06-13,14.3737
2018-06-14,11.4138
2018-06-15,14.6083
2018-06-16,11.7718
2018-06-17,13.9486
2018-06-18,13.5392
2018-06-19,13.7575
2018-06-20,14.0488
2018-06-21,12.9588
2018-06-22,12.8002
2018-06-23,13.8897
2018-06-24,13.7599
2018-06-25,15.579
2018-06-26,13.4793
2018-06-27,11.9416
2018-06-28,11.148
2018-06-29,11.0016
2018-06-30,
2018-07-01,12.5297
2018-07-02,
2018-07-03,12.5959
2018-07-04,12.7421
2018-07-05,11.7376
2018-07-06,13.0951
2018-07-07,12.8381
2018-07-08,
2018-07-09,12.4517
2018-07-10,6.86119
2018-07-11,7.78137
2018-07-12,
2018-07-13,12.5264
2018-07-14,12.9542
2018-07-15,12.199
2018-07-16,12.2816
2018-07-17,11.4598
2018-07-18,7.21579
2018-07-19,13.3279
2018-07-20,13.5476
2018-07-21,12.2545
2018-07-22,8.16535
2018-07-23,10.7306
2018-07-24,12.9152
2018-07-25,11.3404
2018-07-26,12.4706
2018-07-27,12.4387
2018-07-28,12.3788
2018-07-29,12.5787
2018-07-30,9.89486
2018-07-31,9.71099
2018-08-01,
2018-08-02,
2018-08-03,9.52581
2018-08-04,9.66063
2018-08-05,10.7612
2018-08-06,9.95118
2018-08-07,9.88758
2018-08-08,8.67369
2018-08-09,8.80945
2018-08-10,9.47848
2018-08-11,9.09308
2018-08-12,9.80657
2018-08-13,9.03641
2018-08-14,10.4874
2018-08-15,9.36627
2018-08-16,9.67298
2018-08-17,9.18379
2018-08-18,
2018-08-19,8.88141
2018-08-20,8.54846
2018-08-21,8.14542
2018-08-22,8.36887
2018-08-23,8.21323
2018-08-24,9.52563
2018-08-25,7.23303
2018-08-26,7.93244
2018-08-27,11.3216
2018-08-28,11.3166
2018-08-29,10.1326
2018-08-30,10.3934
2018-08-31,9.42842
2018-09-01,5.16831
2018-09-02,9.1856
2018-09-03,8.5282
2018-09-04,7.78788
2018-09-05,9.13815
2018-09-06,9.22322
2018-09-07,
2018-09-08,9.25351
2018-09-09,
2018-09-10,
2018-09-11,8.93843
2018-09-12,9.8681
2018-09-13,10.3226
2018-09-14,7.95394
2018-09-15,9.2432
2018-09-16,9.38638
2018-09-17,9.67522
2018-09-18,8.45927
2018-09-19,9.34486
2018-09-20,8.94762
2018-09-21,8.8703
2018-09-22,7.3209
2018-09-23,6.20537
2018-09-24,
2018-09-25,
2018-09-26,6.71599
2018-09-27,6.97898
2018-09-28,6.68448
2018-09-29,5.94391
2018-09-30,5.90552
2018-10-01,5.51461
2018-10-02,5.19497
2018-10-03,4.21331
2018-10-04,5.49439
2018-10-05,4.61084
2018-10-06,4.7191
2018-10-07,4.61409
2018-10-08,5.46696
2018-10-09,4.70591
2018-10-10,4.24377
2018-10-11,3.8867
2018-10-12,3.43574
2018-10-13,3.25498
2018-10-14,3.4033
2018-10-15,3.6797
2018-10-16,3.52354
2018-10-17,3.284
2018-10-18,3.60918
2018-10-19,4.27639
2018-10-20,2.85584
2018-10-21,2.9331
2018-10-22,3.36862
2018-10-23,
2018-10-24,
2018-10-25,
2018-10-26,
2018-10-27,
2018-10-28,
2018-10-29,
2018-10-30,
2018-10-31,
2018-11-01,
2018-11-02,
2018-11-03,
2018-11-04,
2018-11-05,
2018-11-06,
2018-11-07,
2018-11-08,
2018-11-09,
2018-11-10,
2018-11-11,
2018-11-12,
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,
2018-11-17,
2018-11-18,
2018-11-19,
2018-11-20,
2018-11-21,
2018-11-22,
2018-11-23,
2018-11-24,
2018-11-25,
2018-11-26,
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,1.51375
2018-12-01,1.99689
2018-12-02,1.74218
2018-12-03,1.79244
2018-12-04,1.89609
2018-12-05,1.65913
2018-12-06,2.1402
2018-12-07,2.00697
2018-12-08,2.03841
2018-12-09,1.67187
2018-12-10,1.95783
2018-12-11,1.98757
2018-12-12,1.44176
2018-12-13,0.634286
2018-12-14,1.13816
2018-12-15,1.23669
2018-12-16,1.26924
2018-12-17,1.22657
2018-12-18,1.30617
2018-12-19,0.683055
2018-12-20,1.15945
2018-12-21,1.18886
2018-12-22,2.01765
2018-12-23,2.03023
2018-12-24,1.0988
2018-12-25,1.66981
2018-12-26,1.71647
2018-12-27,1.53303
2018-12-28,1.48185
2018-12-29,0.825233
2018-12-30,1.49547
2018-12-31,1.496
2019-01-01,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-05,
2019-01-06,0.256385
2019-01-07,
2019-01-08,0.247635
2019-01-09,0.471432
2019-01-10,
2019-01-11,
2019-01-12,0.289238
2019-01-13,0.248124
2019-01-14,0.0687954
2019-01-15,0.0531994
2019-01-16,0.0783864
2019-01-17,
2019-01-18,0.0641472
2019-01-19,
2019-01-20,0.238303
2019-01-21,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,0.245846
2019-01-26,0.177239
2019-01-27,0.390467
2019-01-28,
2019-01-29,0.30689
2019-01-30,
2019-01-31,0.36029
2019-02-01,0.0880635
2019-02-02,0.0991386
2019-02-03,
2019-02-04,
2019-02-05,0.455436
2019-02-06,0.17372
2019-02-07,0.123132
2019-02-08,
2019-02-09,0.198529
2019-02-10,0.165133
2019-02-11,0.204864
2019-02-12,0.0492681
2019-02-13,
2019-02-14,0.232413
2019-02-15,
2019-02-16,
2019-02-17,
2019-02-18,
2019-02-19,
2019-02-20,0.203042
2019-02-21,0.0634586
2019-02-22,
2019-02-23,
2019-02-24,
2019-02-25,0.0209279
2019-02-26,0.390332
2019-02-27,0.0652558
2019-02-28,0.0110197
2019-03-01,0.210836
2019-03-02,0.0514325
2019-03-03,0.117136
2019-03-04,0.212322
2019-03-05,0.0525729
2019-03-06,0.122225
2019-03-07,0.204747
2019-03-08,
2019-03-09,0.14594
2019-03-10,0.242515
2019-03-11,0.230955
2019-03-12,0.287721
2019-03-13,
2019-03-14,0.220211
2019-03-15,0.0800987
2019-03-16,
2019-03-17,0.179455
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-23,0.309569
2019-03-24,0.341721
2019-03-25,0.328126
2019-03-26,0.476396
2019-03-27,0.598924
2019-03-28,0.630863
2019-03-29,0.622278
2019-03-30,0.654958
2019-03-31,0.418905
2019-04-01,0.493853
2019-04-02,0.670349
2019-04-03,1.21716
2019-04-04,0.867307
2019-04-05,1.0014
2019-04-06,0.959844
2019-04-07,1.494
2019-04-08,2.51272
2019-04-09,1.96284
2019-04-10,2.21878
2019-04-11,2.45079
2019-04-12,2.38927
2019-04-13,1.56118
2019-04-14,2.92359
2019-04-15,3.0797
2019-04-16,3.59385
2019-04-17,3.69776
2019-04-18,4.48191
2019-04-19,4.23824
2019-04-20,4.57639
2019-04-21,4.5162
2019-04-22,4.94045
2019-04-23,3.68558
2019-04-24,5.40285
2019-04-25,6.56273
2019-04-26,7.34956
2019-04-27,6.60199
2019-04-28,8.28651
2019-04-29,3.05074
2019-04-30,3.906
2019-05-01,7.95231
2019-05-02,8.09001
2019-05-03,6.98252
2019-05-04,7.22252
2019-05-05,4.56474
2019-05-06,6.68731
2019-05-07,9.0945
2019-05-08,8.73388
2019-05-09,7.09671
2019-05-10,9.16575
2019-05-11,10.8248
2019-05-12,4.31976
2019-05-13,5.99177
2019-05-14,7.92792
2019-05-15,4.4594
2019-05-16,6.88548
2019-05-17,11.2771
2019-05-18,10.8759
2019-05-19,11.1257
2019-05-20,9.30704
2019-05-21,11.4565
2019-05-22,3.35963
2019-05-23,7.0824
2019-05-24,11.1742
2019-05-25,11.8156
2019-05-26,12.1994
2019-05-27,11.5409
2019-05-28,4.25664
2019-05-29,10.0823
2019-05-30,9.16869
2019-05-31,13.6735
2019-06-01,15.3129
2019-06-02,14.2332
2019-06-03,16.1463
2019-06-04,15.9146
2019-06-05,13.8563
2019-06-06,14.2635
2019-06-07,12.9515
2019-06-08,13.1816
2019-06-09,13.957
2019-06-10,11.9874
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,12.7769
2019-06-23,10.8232
2019-06-24,15.9929
2019-06-25,16.5459
2019-06-26,16.3264
2019-06-27,17.8263
2019-06-28,15.8809
2019-06-29,16.158
2019-06-30,15.7371
2019-07-01,14.1378
2019-07-02,15.0997
2019-07-03,15.9404
2019-07-04,15.5093
2019-07-05,16.6618
2019-07-06,14.8714
2019-07-07,15.2126
2019-07-08,15.484
2019-07-09,15.5276
2019-07-10,16.0138
2019-07-11,14.9218
2019-07-12,11.4187
2019-07-13,12.2513
2019-07-14,15.4762
2019-07-15,14.5152
2019-07-16,16.8197
2019-07-17,16.3836
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,16.1328
2019-07-30,13.9711
2019-07-31,13.5868
2019-08-01,15.4633
2019-08-02,13.4286
2019-08-03,9.61837
2019-08-04,14.244
2019-08-05,14.2387
2019-08-06,13.278
2019-08-07,14.9408
2019-08-08,15.4694
2019-08-09,13.3977
2019-08-10,12.319
2019-08-11,12.8008
2019-08-12,12.9204
2019-08-13,12.8667
2019-08-14,11.455
2019-08-15,13.2133
2019-08-16,12.4768
2019-08-17,13.1872
2019-08-18,11.579
2019-08-19,12.6305
